batch_size,sequence_length,runtime_ssm,runtime_tp,speedup
1,4,0.05972805491910549,0.054381882362577016,0.910491433820016
1,8,0.06071265144782956,0.055329264658212196,0.911330066119031
1,16,0.05952040057309205,0.055322232330581755,0.9294667340594446
1,32,0.06006155181057693,0.05488108377358003,0.9137473494968105
1,64,0.06023259866196895,0.0546159398072632,0.9067505141820799
1,128,0.058993091242882656,0.05546299929119414,0.9401609260115791
1,256,0.05957412848511012,0.05300497207099397,0.8897313887561438
1,512,0.058997928936150856,0.05401674684617319,0.9155702211959265
2,4,0.061109003707315424,0.05736755505495239,0.9387741834201244
2,8,0.06185011179513822,0.057600281777922646,0.931288240330236
2,16,0.0608415850365418,0.05302070314246521,0.8714549943204253
2,32,0.06092205334971368,0.053989096340956166,0.8861995512698835
2,64,0.060867431024234975,0.05475525025394745,0.8995820808035434
2,128,0.062258676007331815,0.05404400064071524,0.8680557330572017
2,256,0.06105428974296956,0.05635827982223418,0.9230846851137741
2,512,0.06093447664898122,0.05204021898316569,0.8540357092578026
4,4,0.06071252902074775,0.057369530584765016,0.9449372561166031
4,8,0.06123718574963277,0.055255152332392754,0.9023137111215812
4,16,0.061169404587417375,0.05717680854831997,0.9347288719576864
4,32,0.06088860445197497,0.05500486092751089,0.9033687242888807
4,64,0.06087756099077524,0.05637514425870904,0.9260414402484284
4,128,0.06104128451443103,0.06050073453479854,0.9911445182726341
4,256,0.06121703743156104,0.055220561522219214,0.902045636951221
8,4,0.06101709286667756,0.0553722389977338,0.9074873350443331
8,8,0.06100054791022558,0.056034478217043215,0.9185897526610594
8,16,0.06172387955666636,0.056838016944311676,0.9208432352689503
8,32,0.061490747380958055,0.05568750771635678,0.9056241806812324
8,64,0.061275400261365576,0.05684601704160741,0.9277135163399184
8,128,0.0619808633964567,0.05751426631832146,0.9279358686960372
16,4,0.06110055072713294,0.05686732001413475,0.930716979427841
16,8,0.06135070524760522,0.058316614564319025,0.9505451376468956
16,16,0.06150240620081604,0.05658935681640287,0.9201161436128009
16,32,0.06332756042866095,0.05599384886227199,0.8841939983674179
16,64,0.0611229670666944,0.054395426082919585,0.8899343191826069
32,4,0.06150241706745874,0.05902712044735381,0.9597528562594555
32,8,0.06148533138548373,0.060022506479072035,0.9762085545698619
32,16,0.06146427274688904,0.06075891127511568,0.9885240410363586
32,32,0.06274889337692002,0.05634164364164462,0.8978906337552707
64,4,0.0610371949551336,0.05627957276192319,0.9220537215593283
64,8,0.06178051733695611,0.056220243028292316,0.909999550856177
64,16,0.06258676509241923,0.05522059437498683,0.8823046580765904
