batch_size,sequence_length,runtime_ssm,runtime_tp,speedup
1,4,0.3471679911017418,0.13318049907684326,0.3836197532329906
1,8,0.3649865509942174,0.14277818147093058,0.3911875138467572
1,16,0.3848869586363435,0.19897467643022537,0.5169691307161814
1,32,0.4577895160764456,0.25512234680354595,0.5572918073574744
1,64,0.59556336235255,0.4114874918013811,0.6909214330712922
1,128,0.8861977653577924,0.6534294411540031,0.7373404297518041
1,256,1.4677492892369628,1.2027785023674369,0.8194713573955972
1,512,2.6094942381605506,2.276415846310556,0.8723590238372078
2,4,0.3342198971658945,0.12548859603703022,0.3754671612945362
2,8,0.357031331397593,0.15536549221724272,0.4351592663004313
2,16,0.39527780562639236,0.17643421050161123,0.4463549634971736
2,32,0.4581540795043111,0.27807088755071163,0.6069374910981122
2,64,0.5925226332619786,0.3932686373591423,0.6637191818211307
2,128,0.9035506099462509,0.7015187405049801,0.7764022654433391
2,256,1.4530584756284952,1.4373638834804296,0.9891989259817798
2,512,2.6320937676355243,2.4351898916065693,0.9251911620892448
4,4,0.3467236692085862,0.13487927429378033,0.38901086447789646
4,8,0.3447613986209035,0.1548655154183507,0.4491962152312748
4,16,0.385225435718894,0.2019757991656661,0.5243054597076282
4,32,0.4515100223943591,0.2519069006666541,0.5579209500838785
4,64,0.5911881299689412,0.44066924136132,0.7453959560799557
4,128,0.900126744993031,0.8481945432722569,0.9423056786062098
4,256,1.4979299316182733,1.522719613276422,1.0165492932178526
8,4,0.32996092084795237,0.13801446743309498,0.4182751917360927
8,8,0.3528863023966551,0.15936291590332985,0.4515984746956855
8,16,0.38385310024023056,0.2013380527496338,0.5245185010193442
8,32,0.46675472520291805,0.28210107889026403,0.6043882657376907
8,64,0.6049029221758246,0.44488298892974854,0.7354617949761469
8,128,0.8988685989752412,0.8589585833251476,0.9555997220332392
16,4,0.3414260409772396,0.14140288345515728,0.41415377412463855
16,8,0.35015504620969296,0.1720481039956212,0.4913483494183
16,16,0.38475946616381407,0.19454847928136587,0.5056366285697451
16,32,0.48240648210048676,0.25603446178138256,0.5307442401407239
16,64,0.7086751572787762,0.447790184058249,0.6318694531041659
32,4,0.3251756280660629,0.14156549889594316,0.43535088941900224
32,8,0.3842305326834321,0.18460836168378592,0.48046249837173904
32,16,0.49772972986102104,0.2114277733489871,0.4247842969075269
32,32,0.7538776360452175,0.3376227365806699,0.4478481923828011
64,4,0.3908778401091695,0.14339773915708065,0.3668607540325915
64,8,0.49967346619814634,0.20978522766381502,0.4198446422620815
64,16,0.7462808052077889,0.3500619251281023,0.4690753436042531
